key	name	description
article_type	类型	pick one of the values of research paper, review, meta-analysis, comments, correction, ...
description	简述	Use a short sentence to describe the main content of the article.
novelty	创新点	Explain the innovation points of this article.
limitation	不足	Explain the limitations of this article.
research_goal	研究目的	Briefly explain the research purpose or field of this article.
research_objects	研究对象	Briefly explain the research objects of this article.
field_category	领域	pick one of the values of computer vision, natural language processing, machine learning, digital pathology, ...
disease_category	病种	pick one of the values of lung cancer, prostate cancer, cardiovascular disease, geriatric disease, ...
technique	技术	what kind of technique is used in this paper, e.g. NGS, ONT, RNA-seq, methylation sequencing, ...
model_type	模型	which model is used in this paper, e.g. CNN, LSTM, GAN, ...
data_type	数据类型	what kind of data is used in this paper, e.g. image, text, video, ...
sample_size	样本量	how many (and what kind of) samples has been involved in this research
storage_medium	存储介质	pick one of the values of DNA, RNA, proteins, peptides, synthetic polymers, etc. If multiple media used, list all separated by comma
encoding_scheme	编码方案	specify the encoding scheme used, e.g. binary encoding, quaternary encoding, error correction codes, Huffman coding, etc. If multiple schemes used, list all separated by comma
computational_paradigm	计算范式	pick one of the values of molecular computing, DNA computing, protein computing, cellular computing, neuromorphic computing, quantum biological computing, etc. If multiple paradigms used, list all separated by comma
scalability_metrics	可扩展性指标	describe the scalability characteristics, e.g. storage capacity (bits, bytes, GB, TB), data density, access time, error rate, durability, etc.
